[mu_prefix] en→de, 15430문장
  [de] 25/15430  23s  ETA 232.6m
  [de] 50/15430  39s  ETA 200.8m
  [de] 75/15430  51s  ETA 172.8m
  [de] 100/15430  62s  ETA 159.6m
  [de] 125/15430  74s  ETA 151.7m
  [de] 150/15430  89s  ETA 150.3m
  [de] 175/15430  103s  ETA 149.6m
  [de] 200/15430  116s  ETA 147.0m
  [de] 225/15430  129s  ETA 145.3m
  [de] 250/15430  144s  ETA 145.9m
  [de] 275/15430  155s  ETA 142.2m
  [de] 300/15430  169s  ETA 142.2m
  [de] 325/15430  182s  ETA 141.1m
  [de] 350/15430  197s  ETA 141.2m
  [de] 375/15430  212s  ETA 141.8m
  [de] 400/15430  226s  ETA 141.6m
  [de] 425/15430  241s  ETA 141.8m
  [de] 450/15430  253s  ETA 140.5m
  [de] 475/15430  266s  ETA 139.6m
  [de] 500/15430  280s  ETA 139.1m
  [de] 525/15430  294s  ETA 139.1m
  [de] 550/15430  304s  ETA 137.3m
  [de] 575/15430  317s  ETA 136.6m
  [de] 600/15430  330s  ETA 135.8m
  [de] 625/15430  344s  ETA 135.9m
  [de] 650/15430  358s  ETA 135.7m
  [de] 675/15430  370s  ETA 134.9m
  [de] 700/15430  385s  ETA 135.0m
  [de] 725/15430  397s  ETA 134.3m
  [de] 750/15430  409s  ETA 133.4m
  [de] 775/15430  421s  ETA 132.7m
  [de] 800/15430  433s  ETA 131.9m
  [de] 825/15430  447s  ETA 131.8m
  [de] 850/15430  458s  ETA 130.8m
  [de] 875/15430  470s  ETA 130.2m
  [de] 900/15430  484s  ETA 130.2m
  [de] 925/15430  495s  ETA 129.3m
  [de] 950/15430  508s  ETA 129.1m
  [de] 975/15430  519s  ETA 128.2m
  [de] 1000/15430  532s  ETA 128.1m
  [de] 1025/15430  545s  ETA 127.7m
  [de] 1050/15430  556s  ETA 127.0m
  [de] 1075/15430  567s  ETA 126.1m
  [de] 1100/15430  578s  ETA 125.5m
  [de] 1125/15430  592s  ETA 125.5m
  [de] 1150/15430  604s  ETA 125.0m
  [de] 1175/15430  618s  ETA 124.9m
  [de] 1200/15430  629s  ETA 124.3m
  [de] 1225/15430  639s  ETA 123.6m
  [de] 1250/15430  652s  ETA 123.2m
  [de] 1275/15430  665s  ETA 123.0m
  [de] 1300/15430  678s  ETA 122.7m
  [de] 1325/15430  689s  ETA 122.3m
  [de] 1350/15430  702s  ETA 122.0m
  [de] 1375/15430  715s  ETA 121.8m
  [de] 1400/15430  727s  ETA 121.4m
  [de] 1425/15430  740s  ETA 121.2m
  [de] 1450/15430  752s  ETA 120.8m
  [de] 1475/15430  763s  ETA 120.3m
  [de] 1500/15430  774s  ETA 119.8m
  [de] 1525/15430  789s  ETA 119.8m
  [de] 1550/15430  799s  ETA 119.3m
  [de] 1575/15430  813s  ETA 119.2m
  [de] 1600/15430  826s  ETA 118.9m
  [de] 1625/15430  837s  ETA 118.5m
  [de] 1650/15430  850s  ETA 118.3m
  [de] 1675/15430  863s  ETA 118.1m
  [de] 1700/15430  876s  ETA 117.9m
  [de] 1725/15430  889s  ETA 117.7m
  [de] 1750/15430  901s  ETA 117.4m
  [de] 1775/15430  914s  ETA 117.1m
  [de] 1800/15430  927s  ETA 117.0m
  [de] 1825/15430  943s  ETA 117.1m
  [de] 1850/15430  956s  ETA 116.9m
  [de] 1875/15430  969s  ETA 116.7m
  [de] 1900/15430  980s  ETA 116.3m
  [de] 1925/15430  994s  ETA 116.2m
  [de] 1950/15430  1006s  ETA 115.9m
  [de] 1975/15430  1018s  ETA 115.6m
  [de] 2000/15430  1033s  ETA 115.6m
  [de] 2025/15430  1044s  ETA 115.2m
  [de] 2050/15430  1055s  ETA 114.8m
  [de] 2075/15430  1067s  ETA 114.4m
  [de] 2100/15430  1082s  ETA 114.5m
  [de] 2125/15430  1093s  ETA 114.0m
  [de] 2150/15430  1103s  ETA 113.5m
  [de] 2175/15430  1115s  ETA 113.2m
  [de] 2200/15430  1126s  ETA 112.8m
  [de] 2225/15430  1141s  ETA 112.9m
  [de] 2250/15430  1152s  ETA 112.5m
  [de] 2275/15430  1166s  ETA 112.3m
  [de] 2300/15430  1179s  ETA 112.1m
  [de] 2325/15430  1192s  ETA 112.0m
  [de] 2350/15430  1205s  ETA 111.8m
  [de] 2375/15430  1218s  ETA 111.6m
  [de] 2400/15430  1230s  ETA 111.3m
  [de] 2425/15430  1241s  ETA 110.9m
  [de] 2450/15430  1253s  ETA 110.7m
  [de] 2475/15430  1267s  ETA 110.5m
  [de] 2500/15430  1281s  ETA 110.4m
  [de] 2525/15430  1296s  ETA 110.4m
  [de] 2550/15430  1309s  ETA 110.2m
  [de] 2575/15430  1323s  ETA 110.1m
  [de] 2600/15430  1333s  ETA 109.6m
  [de] 2625/15430  1344s  ETA 109.3m
  [de] 2650/15430  1359s  ETA 109.3m
  [de] 2675/15430  1374s  ETA 109.2m
  [de] 2700/15430  1386s  ETA 108.9m
  [de] 2725/15430  1403s  ETA 109.0m
  [de] 2750/15430  1415s  ETA 108.8m
  [de] 2775/15430  1430s  ETA 108.7m
  [de] 2800/15430  1442s  ETA 108.4m
  [de] 2825/15430  1456s  ETA 108.3m
  [de] 2850/15430  1471s  ETA 108.2m
  [de] 2875/15430  1482s  ETA 107.8m
  [de] 2900/15430  1495s  ETA 107.7m
  [de] 2925/15430  1510s  ETA 107.6m
  [de] 2950/15430  1523s  ETA 107.4m
  [de] 2975/15430  1537s  ETA 107.2m
  [de] 3000/15430  1550s  ETA 107.0m
  [de] 3025/15430  1561s  ETA 106.7m
  [de] 3050/15430  1572s  ETA 106.4m
  [de] 3075/15430  1585s  ETA 106.1m
  [de] 3100/15430  1599s  ETA 106.0m
  [de] 3125/15430  1611s  ETA 105.7m
  [de] 3150/15430  1625s  ETA 105.6m
  [de] 3175/15430  1638s  ETA 105.4m
  [de] 3200/15430  1654s  ETA 105.3m
  [de] 3225/15430  1667s  ETA 105.1m
  [de] 3250/15430  1682s  ETA 105.0m
  [de] 3275/15430  1692s  ETA 104.7m
  [de] 3300/15430  1704s  ETA 104.4m
  [de] 3325/15430  1719s  ETA 104.3m
  [de] 3350/15430  1730s  ETA 104.0m
  [de] 3375/15430  1744s  ETA 103.8m
  [de] 3400/15430  1755s  ETA 103.5m
  [de] 3425/15430  1769s  ETA 103.4m
  [de] 3450/15430  1784s  ETA 103.2m
  [de] 3475/15430  1798s  ETA 103.1m
  [de] 3500/15430  1813s  ETA 103.0m
  [de] 3525/15430  1827s  ETA 102.8m
  [de] 3550/15430  1838s  ETA 102.5m
  [de] 3575/15430  1851s  ETA 102.3m
  [de] 3600/15430  1864s  ETA 102.1m
  [de] 3625/15430  1876s  ETA 101.8m
  [de] 3650/15430  1889s  ETA 101.6m
  [de] 3675/15430  1904s  ETA 101.5m
  [de] 3700/15430  1914s  ETA 101.2m
