[alignatt] en→zh, 15430문장
  [zh] 25/15430  14s  ETA 146.8m
  [zh] 50/15430  24s  ETA 124.1m
  [zh] 75/15430  32s  ETA 108.9m
  [zh] 100/15430  40s  ETA 102.6m
  [zh] 125/15430  48s  ETA 98.2m
  [zh] 150/15430  57s  ETA 97.0m
  [zh] 175/15430  66s  ETA 95.6m
  [zh] 200/15430  74s  ETA 93.9m
  [zh] 225/15430  82s  ETA 92.9m
  [zh] 250/15430  92s  ETA 92.8m
  [zh] 275/15430  99s  ETA 90.5m
  [zh] 300/15430  109s  ETA 91.7m
  [zh] 325/15430  117s  ETA 91.0m
  [zh] 350/15430  127s  ETA 91.0m
  [zh] 375/15430  136s  ETA 91.1m
  [zh] 400/15430  145s  ETA 90.9m
  [zh] 425/15430  155s  ETA 91.1m
  [zh] 450/15430  163s  ETA 90.5m
  [zh] 475/15430  172s  ETA 90.1m
  [zh] 500/15430  180s  ETA 89.6m
  [zh] 525/15430  190s  ETA 89.8m
  [zh] 550/15430  197s  ETA 88.8m
  [zh] 575/15430  206s  ETA 88.8m
  [zh] 600/15430  214s  ETA 88.3m
  [zh] 625/15430  225s  ETA 88.7m
  [zh] 650/15430  234s  ETA 88.6m
  [zh] 675/15430  242s  ETA 88.1m
  [zh] 700/15430  252s  ETA 88.2m
  [zh] 725/15430  260s  ETA 88.0m
  [zh] 750/15430  268s  ETA 87.4m
  [zh] 775/15430  276s  ETA 87.1m
  [zh] 800/15430  284s  ETA 86.6m
  [zh] 825/15430  293s  ETA 86.5m
  [zh] 850/15430  301s  ETA 86.1m
  [zh] 875/15430  309s  ETA 85.6m
  [zh] 900/15430  317s  ETA 85.3m
  [zh] 925/15430  324s  ETA 84.7m
  [zh] 950/15430  334s  ETA 84.8m
  [zh] 975/15430  341s  ETA 84.3m
  [zh] 1000/15430  349s  ETA 83.9m
  [zh] 1025/15430  358s  ETA 83.7m
  [zh] 1050/15430  365s  ETA 83.4m
  [zh] 1075/15430  373s  ETA 82.9m
  [zh] 1100/15430  381s  ETA 82.7m
  [zh] 1125/15430  390s  ETA 82.7m
  [zh] 1150/15430  398s  ETA 82.4m
  [zh] 1175/15430  407s  ETA 82.3m
  [zh] 1200/15430  415s  ETA 82.0m
  [zh] 1225/15430  422s  ETA 81.6m
  [zh] 1250/15430  431s  ETA 81.5m
  [zh] 1275/15430  440s  ETA 81.4m
  [zh] 1300/15430  449s  ETA 81.4m
  [zh] 1325/15430  458s  ETA 81.2m
  [zh] 1350/15430  465s  ETA 80.9m
  [zh] 1375/15430  474s  ETA 80.7m
  [zh] 1400/15430  481s  ETA 80.4m
  [zh] 1425/15430  488s  ETA 79.9m
  [zh] 1450/15430  493s  ETA 79.3m
  [zh] 1475/15430  500s  ETA 78.8m
  [zh] 1500/15430  505s  ETA 78.2m
  [zh] 1525/15430  513s  ETA 77.9m
  [zh] 1550/15430  518s  ETA 77.3m
  [zh] 1575/15430  524s  ETA 76.9m
  [zh] 1600/15430  530s  ETA 76.3m
  [zh] 1625/15430  536s  ETA 75.9m
  [zh] 1650/15430  542s  ETA 75.4m
  [zh] 1675/15430  548s  ETA 75.0m
  [zh] 1700/15430  554s  ETA 74.6m
  [zh] 1725/15430  561s  ETA 74.3m
  [zh] 1750/15430  567s  ETA 73.8m
  [zh] 1775/15430  573s  ETA 73.5m
  [zh] 1800/15430  578s  ETA 73.0m
  [zh] 1825/15430  586s  ETA 72.8m
  [zh] 1850/15430  592s  ETA 72.4m
  [zh] 1875/15430  598s  ETA 72.0m
  [zh] 1900/15430  603s  ETA 71.6m
  [zh] 1925/15430  610s  ETA 71.4m
  [zh] 1950/15430  616s  ETA 71.0m
  [zh] 1975/15430  622s  ETA 70.6m
  [zh] 2000/15430  629s  ETA 70.4m
  [zh] 2025/15430  634s  ETA 70.0m
  [zh] 2050/15430  640s  ETA 69.6m
  [zh] 2075/15430  646s  ETA 69.3m
  [zh] 2100/15430  653s  ETA 69.0m
  [zh] 2125/15430  659s  ETA 68.7m
  [zh] 2150/15430  664s  ETA 68.3m
  [zh] 2175/15430  669s  ETA 68.0m
  [zh] 2200/15430  675s  ETA 67.7m
  [zh] 2225/15430  681s  ETA 67.4m
  [zh] 2250/15430  686s  ETA 67.0m
  [zh] 2275/15430  693s  ETA 66.8m
  [zh] 2300/15430  699s  ETA 66.5m
  [zh] 2325/15430  706s  ETA 66.3m
  [zh] 2350/15430  711s  ETA 66.0m
  [zh] 2375/15430  718s  ETA 65.7m
  [zh] 2400/15430  723s  ETA 65.4m
  [zh] 2425/15430  728s  ETA 65.1m
  [zh] 2450/15430  733s  ETA 64.7m
  [zh] 2475/15430  738s  ETA 64.4m
  [zh] 2500/15430  743s  ETA 64.1m
  [zh] 2525/15430  749s  ETA 63.8m
  [zh] 2550/15430  753s  ETA 63.4m
  [zh] 2575/15430  758s  ETA 63.1m
  [zh] 2600/15430  762s  ETA 62.7m
  [zh] 2625/15430  766s  ETA 62.3m
  [zh] 2650/15430  771s  ETA 62.0m
  [zh] 2675/15430  777s  ETA 61.7m
  [zh] 2700/15430  781s  ETA 61.4m
  [zh] 2725/15430  786s  ETA 61.1m
  [zh] 2750/15430  791s  ETA 60.8m
  [zh] 2775/15430  796s  ETA 60.5m
  [zh] 2800/15430  801s  ETA 60.2m
  [zh] 2825/15430  805s  ETA 59.9m
  [zh] 2850/15430  811s  ETA 59.7m
  [zh] 2875/15430  815s  ETA 59.3m
  [zh] 2900/15430  820s  ETA 59.0m
  [zh] 2925/15430  825s  ETA 58.8m
  [zh] 2950/15430  830s  ETA 58.5m
  [zh] 2975/15430  837s  ETA 58.4m
  [zh] 3000/15430  842s  ETA 58.1m
  [zh] 3025/15430  846s  ETA 57.8m
  [zh] 3050/15430  850s  ETA 57.5m
  [zh] 3075/15430  855s  ETA 57.2m
  [zh] 3100/15430  859s  ETA 57.0m
  [zh] 3125/15430  864s  ETA 56.7m
  [zh] 3150/15430  869s  ETA 56.4m
  [zh] 3175/15430  874s  ETA 56.2m
  [zh] 3200/15430  879s  ETA 56.0m
  [zh] 3225/15430  884s  ETA 55.8m
  [zh] 3250/15430  889s  ETA 55.6m
  [zh] 3275/15430  894s  ETA 55.3m
  [zh] 3300/15430  898s  ETA 55.0m
  [zh] 3325/15430  903s  ETA 54.8m
  [zh] 3350/15430  907s  ETA 54.5m
  [zh] 3375/15430  912s  ETA 54.3m
  [zh] 3400/15430  916s  ETA 54.0m
  [zh] 3425/15430  921s  ETA 53.8m
  [zh] 3450/15430  929s  ETA 53.8m
  [zh] 3475/15430  934s  ETA 53.5m
  [zh] 3500/15430  939s  ETA 53.3m
  [zh] 3525/15430  943s  ETA 53.1m
  [zh] 3550/15430  948s  ETA 52.9m
  [zh] 3575/15430  953s  ETA 52.7m
  [zh] 3600/15430  958s  ETA 52.5m
  [zh] 3625/15430  963s  ETA 52.3m
  [zh] 3650/15430  967s  ETA 52.0m
  [zh] 3675/15430  972s  ETA 51.8m
  [zh] 3700/15430  976s  ETA 51.6m
  [zh] 3725/15430  981s  ETA 51.4m
  [zh] 3750/15430  985s  ETA 51.2m
  [zh] 3775/15430  989s  ETA 50.9m
  [zh] 3800/15430  993s  ETA 50.7m
  [zh] 3825/15430  997s  ETA 50.4m
  [zh] 3850/15430  1002s  ETA 50.2m
  [zh] 3875/15430  1007s  ETA 50.1m
  [zh] 3900/15430  1012s  ETA 49.9m
  [zh] 3925/15430  1017s  ETA 49.7m
  [zh] 3950/15430  1021s  ETA 49.5m
  [zh] 3975/15430  1026s  ETA 49.3m
  [zh] 4000/15430  1031s  ETA 49.1m
  [zh] 4025/15430  1036s  ETA 48.9m
  [zh] 4050/15430  1041s  ETA 48.8m
  [zh] 4075/15430  1046s  ETA 48.6m
  [zh] 4100/15430  1050s  ETA 48.4m
  [zh] 4125/15430  1054s  ETA 48.1m
  [zh] 4150/15430  1059s  ETA 48.0m
  [zh] 4175/15430  1064s  ETA 47.8m
  [zh] 4200/15430  1068s  ETA 47.6m
  [zh] 4225/15430  1071s  ETA 47.3m
  [zh] 4250/15430  1076s  ETA 47.2m
  [zh] 4275/15430  1082s  ETA 47.0m
  [zh] 4300/15430  1087s  ETA 46.9m
  [zh] 4325/15430  1091s  ETA 46.7m
  [zh] 4350/15430  1096s  ETA 46.5m
  [zh] 4375/15430  1101s  ETA 46.4m
  [zh] 4400/15430  1105s  ETA 46.2m
  [zh] 4425/15430  1109s  ETA 46.0m
  [zh] 4450/15430  1113s  ETA 45.8m
  [zh] 4475/15430  1118s  ETA 45.6m
  [zh] 4500/15430  1123s  ETA 45.5m
  [zh] 4525/15430  1127s  ETA 45.3m
  [zh] 4550/15430  1133s  ETA 45.1m
  [zh] 4575/15430  1138s  ETA 45.0m
  [zh] 4600/15430  1143s  ETA 44.8m
  [zh] 4625/15430  1147s  ETA 44.7m
  [zh] 4650/15430  1153s  ETA 44.5m
  [zh] 4675/15430  1157s  ETA 44.4m
  [zh] 4700/15430  1163s  ETA 44.2m
  [zh] 4725/15430  1167s  ETA 44.1m
  [zh] 4750/15430  1171s  ETA 43.9m
  [zh] 4775/15430  1176s  ETA 43.8m
  [zh] 4800/15430  1180s  ETA 43.6m
  [zh] 4825/15430  1186s  ETA 43.4m
  [zh] 4850/15430  1190s  ETA 43.3m
  [zh] 4875/15430  1195s  ETA 43.1m
  [zh] 4900/15430  1199s  ETA 42.9m
  [zh] 4925/15430  1204s  ETA 42.8m
  [zh] 4950/15430  1209s  ETA 42.7m
  [zh] 4975/15430  1213s  ETA 42.5m
  [zh] 5000/15430  1218s  ETA 42.3m
  [zh] 5025/15430  1221s  ETA 42.2m
  [zh] 5050/15430  1226s  ETA 42.0m
  [zh] 5075/15430  1231s  ETA 41.8m
  [zh] 5100/15430  1236s  ETA 41.7m
  [zh] 5125/15430  1241s  ETA 41.6m
  [zh] 5150/15430  1246s  ETA 41.4m
  [zh] 5175/15430  1250s  ETA 41.3m
  [zh] 5200/15430  1254s  ETA 41.1m
  [zh] 5225/15430  1258s  ETA 41.0m
  [zh] 5250/15430  1264s  ETA 40.9m
  [zh] 5275/15430  1269s  ETA 40.7m
  [zh] 5300/15430  1273s  ETA 40.6m
  [zh] 5325/15430  1278s  ETA 40.4m
  [zh] 5350/15430  1283s  ETA 40.3m
  [zh] 5375/15430  1288s  ETA 40.1m
  [zh] 5400/15430  1292s  ETA 40.0m
  [zh] 5425/15430  1297s  ETA 39.9m
  [zh] 5450/15430  1302s  ETA 39.7m
  [zh] 5475/15430  1307s  ETA 39.6m
  [zh] 5500/15430  1311s  ETA 39.5m
  [zh] 5525/15430  1316s  ETA 39.3m
  [zh] 5550/15430  1321s  ETA 39.2m
  [zh] 5575/15430  1326s  ETA 39.1m
  [zh] 5600/15430  1331s  ETA 38.9m
  [zh] 5625/15430  1336s  ETA 38.8m
  [zh] 5650/15430  1340s  ETA 38.7m
  [zh] 5675/15430  1344s  ETA 38.5m
  [zh] 5700/15430  1349s  ETA 38.4m
  [zh] 5725/15430  1354s  ETA 38.2m
  [zh] 5750/15430  1359s  ETA 38.1m
  [zh] 5775/15430  1363s  ETA 38.0m
  [zh] 5800/15430  1368s  ETA 37.9m
  [zh] 5825/15430  1373s  ETA 37.7m
  [zh] 5850/15430  1378s  ETA 37.6m
  [zh] 5875/15430  1381s  ETA 37.4m
  [zh] 5900/15430  1386s  ETA 37.3m
  [zh] 5925/15430  1391s  ETA 37.2m
  [zh] 5950/15430  1396s  ETA 37.1m
  [zh] 5975/15430  1401s  ETA 36.9m
  [zh] 6000/15430  1405s  ETA 36.8m
  [zh] 6025/15430  1410s  ETA 36.7m
  [zh] 6050/15430  1415s  ETA 36.6m
  [zh] 6075/15430  1419s  ETA 36.4m
  [zh] 6100/15430  1423s  ETA 36.3m
  [zh] 6125/15430  1428s  ETA 36.2m
  [zh] 6150/15430  1433s  ETA 36.0m
  [zh] 6175/15430  1438s  ETA 35.9m
  [zh] 6200/15430  1443s  ETA 35.8m
  [zh] 6225/15430  1448s  ETA 35.7m
  [zh] 6250/15430  1453s  ETA 35.6m
  [zh] 6275/15430  1457s  ETA 35.4m
  [zh] 6300/15430  1462s  ETA 35.3m
  [zh] 6325/15430  1467s  ETA 35.2m
  [zh] 6350/15430  1471s  ETA 35.1m
  [zh] 6375/15430  1476s  ETA 34.9m
  [zh] 6400/15430  1480s  ETA 34.8m
  [zh] 6425/15430  1485s  ETA 34.7m
  [zh] 6450/15430  1490s  ETA 34.6m
  [zh] 6475/15430  1495s  ETA 34.5m
  [zh] 6500/15430  1500s  ETA 34.3m
  [zh] 6525/15430  1504s  ETA 34.2m
  [zh] 6550/15430  1509s  ETA 34.1m
  [zh] 6575/15430  1514s  ETA 34.0m
  [zh] 6600/15430  1519s  ETA 33.9m
  [zh] 6625/15430  1523s  ETA 33.7m
  [zh] 6650/15430  1528s  ETA 33.6m
  [zh] 6675/15430  1533s  ETA 33.5m
  [zh] 6700/15430  1538s  ETA 33.4m
  [zh] 6725/15430  1542s  ETA 33.3m
  [zh] 6750/15430  1547s  ETA 33.2m
  [zh] 6775/15430  1552s  ETA 33.0m
  [zh] 6800/15430  1558s  ETA 32.9m
  [zh] 6825/15430  1563s  ETA 32.8m
  [zh] 6850/15430  1568s  ETA 32.7m
  [zh] 6875/15430  1572s  ETA 32.6m
  [zh] 6900/15430  1576s  ETA 32.5m
  [zh] 6925/15430  1582s  ETA 32.4m
  [zh] 6950/15430  1586s  ETA 32.3m
  [zh] 6975/15430  1591s  ETA 32.1m
  [zh] 7000/15430  1596s  ETA 32.0m
  [zh] 7025/15430  1601s  ETA 31.9m
  [zh] 7050/15430  1605s  ETA 31.8m
  [zh] 7075/15430  1610s  ETA 31.7m
  [zh] 7100/15430  1615s  ETA 31.6m
  [zh] 7125/15430  1621s  ETA 31.5m
  [zh] 7150/15430  1626s  ETA 31.4m
  [zh] 7175/15430  1630s  ETA 31.3m
  [zh] 7200/15430  1635s  ETA 31.1m
  [zh] 7225/15430  1639s  ETA 31.0m
  [zh] 7250/15430  1644s  ETA 30.9m
  [zh] 7275/15430  1649s  ETA 30.8m
  [zh] 7300/15430  1654s  ETA 30.7m
  [zh] 7325/15430  1658s  ETA 30.6m
  [zh] 7350/15430  1663s  ETA 30.5m
  [zh] 7375/15430  1668s  ETA 30.4m
  [zh] 7400/15430  1673s  ETA 30.3m
  [zh] 7425/15430  1678s  ETA 30.2m
  [zh] 7450/15430  1683s  ETA 30.0m
  [zh] 7475/15430  1687s  ETA 29.9m
  [zh] 7500/15430  1691s  ETA 29.8m
  [zh] 7525/15430  1696s  ETA 29.7m
  [zh] 7550/15430  1701s  ETA 29.6m
  [zh] 7575/15430  1705s  ETA 29.5m
  [zh] 7600/15430  1710s  ETA 29.4m
  [zh] 7625/15430  1714s  ETA 29.2m
  [zh] 7650/15430  1719s  ETA 29.1m
  [zh] 7675/15430  1723s  ETA 29.0m
  [zh] 7700/15430  1728s  ETA 28.9m
  [zh] 7725/15430  1732s  ETA 28.8m
  [zh] 7750/15430  1737s  ETA 28.7m
  [zh] 7775/15430  1742s  ETA 28.6m
  [zh] 7800/15430  1747s  ETA 28.5m
  [zh] 7825/15430  1752s  ETA 28.4m
  [zh] 7850/15430  1757s  ETA 28.3m
  [zh] 7875/15430  1762s  ETA 28.2m
  [zh] 7900/15430  1767s  ETA 28.1m
  [zh] 7925/15430  1772s  ETA 28.0m
  [zh] 7950/15430  1777s  ETA 27.9m
  [zh] 7975/15430  1781s  ETA 27.8m
  [zh] 8000/15430  1786s  ETA 27.6m
  [zh] 8025/15430  1792s  ETA 27.6m
  [zh] 8050/15430  1796s  ETA 27.4m
  [zh] 8075/15430  1801s  ETA 27.3m
  [zh] 8100/15430  1806s  ETA 27.2m
  [zh] 8125/15430  1811s  ETA 27.1m
