[mu_prefix] en→ja, 15430문장
  [ja] 25/15430  43s  ETA 445.4m
  [ja] 50/15430  84s  ETA 432.2m
  [ja] 75/15430  115s  ETA 393.4m
  [ja] 100/15430  153s  ETA 390.7m
  [ja] 125/15430  186s  ETA 378.7m
  [ja] 150/15430  223s  ETA 378.1m
  [ja] 175/15430  258s  ETA 375.2m
  [ja] 200/15430  293s  ETA 371.5m
  [ja] 225/15430  323s  ETA 363.4m
  [ja] 250/15430  352s  ETA 355.9m
  [ja] 275/15430  372s  ETA 341.8m
  [ja] 300/15430  402s  ETA 338.1m
  [ja] 325/15430  430s  ETA 333.4m
  [ja] 350/15430  458s  ETA 329.1m
  [ja] 375/15430  485s  ETA 324.8m
  [ja] 400/15430  512s  ETA 320.3m
  [ja] 425/15430  541s  ETA 318.3m
  [ja] 450/15430  564s  ETA 313.1m
  [ja] 475/15430  590s  ETA 309.4m
  [ja] 500/15430  613s  ETA 305.1m
  [ja] 525/15430  646s  ETA 305.7m
  [ja] 550/15430  664s  ETA 299.6m
  [ja] 575/15430  689s  ETA 296.7m
  [ja] 600/15430  711s  ETA 292.7m
  [ja] 625/15430  743s  ETA 293.3m
  [ja] 650/15430  770s  ETA 291.9m
  [ja] 675/15430  794s  ETA 289.2m
  [ja] 700/15430  821s  ETA 288.1m
  [ja] 725/15430  846s  ETA 286.0m
  [ja] 750/15430  866s  ETA 282.6m
  [ja] 775/15430  890s  ETA 280.3m
  [ja] 800/15430  912s  ETA 277.9m
  [ja] 825/15430  938s  ETA 276.8m
  [ja] 850/15430  964s  ETA 275.5m
  [ja] 875/15430  986s  ETA 273.4m
  [ja] 900/15430  1011s  ETA 272.1m
  [ja] 925/15430  1030s  ETA 269.3m
  [ja] 950/15430  1059s  ETA 269.0m
  [ja] 975/15430  1081s  ETA 267.2m
  [ja] 1000/15430  1104s  ETA 265.4m
  [ja] 1025/15430  1130s  ETA 264.6m
  [ja] 1050/15430  1152s  ETA 262.8m
  [ja] 1075/15430  1171s  ETA 260.7m
  [ja] 1100/15430  1197s  ETA 259.9m
  [ja] 1125/15430  1227s  ETA 260.0m
  [ja] 1150/15430  1250s  ETA 258.7m
  [ja] 1175/15430  1275s  ETA 257.8m
  [ja] 1200/15430  1299s  ETA 256.8m
  [ja] 1225/15430  1319s  ETA 254.9m
  [ja] 1250/15430  1343s  ETA 254.0m
  [ja] 1275/15430  1368s  ETA 253.1m
  [ja] 1300/15430  1396s  ETA 252.8m
  [ja] 1325/15430  1423s  ETA 252.4m
  [ja] 1350/15430  1447s  ETA 251.5m
  [ja] 1375/15430  1470s  ETA 250.4m
  [ja] 1400/15430  1495s  ETA 249.7m
  [ja] 1425/15430  1519s  ETA 248.9m
  [ja] 1450/15430  1543s  ETA 247.9m
  [ja] 1475/15430  1567s  ETA 247.1m
  [ja] 1500/15430  1589s  ETA 246.0m
  [ja] 1525/15430  1623s  ETA 246.7m
  [ja] 1550/15430  1646s  ETA 245.7m
  [ja] 1575/15430  1673s  ETA 245.3m
  [ja] 1600/15430  1697s  ETA 244.4m
  [ja] 1625/15430  1718s  ETA 243.3m
  [ja] 1650/15430  1746s  ETA 243.0m
  [ja] 1675/15430  1771s  ETA 242.4m
  [ja] 1700/15430  1799s  ETA 242.2m
  [ja] 1725/15430  1829s  ETA 242.2m
  [ja] 1750/15430  1857s  ETA 241.9m
  [ja] 1775/15430  1887s  ETA 241.9m
  [ja] 1800/15430  1912s  ETA 241.2m
  [ja] 1825/15430  1942s  ETA 241.3m
  [ja] 1850/15430  1956s  ETA 239.3m
  [ja] 1875/15430  1965s  ETA 236.7m
  [ja] 1900/15430  1974s  ETA 234.3m
  [ja] 1925/15430  1985s  ETA 232.1m
  [ja] 1950/15430  1993s  ETA 229.6m
  [ja] 1975/15430  1999s  ETA 227.0m
  [ja] 2000/15430  2009s  ETA 224.9m
  [ja] 2025/15430  2016s  ETA 222.4m
  [ja] 2050/15430  2022s  ETA 220.0m
  [ja] 2075/15430  2029s  ETA 217.7m
