[causal_align] en→de, 15430문장
2026-09-03 14:18:43,904 - simalign.simalign - INFO - Initialized the EmbeddingLoader with model: bert-base-multilingual-cased
  [de] 100/15430  9s
  [de] 200/15430  11s
  [de] 300/15430  12s
  [de] 400/15430  14s
  [de] 500/15430  17s
  [de] 600/15430  19s
  [de] 700/15430  21s
  [de] 800/15430  22s
  [de] 900/15430  24s
  [de] 1000/15430  26s
  [de] 1100/15430  27s
  [de] 1200/15430  29s
  [de] 1300/15430  31s
  [de] 1400/15430  34s
  [de] 1500/15430  36s
  [de] 1600/15430  38s
  [de] 1700/15430  40s
  [de] 1800/15430  42s
  [de] 1900/15430  45s
  [de] 2000/15430  47s
  [de] 2100/15430  49s
  [de] 2200/15430  51s
  [de] 2300/15430  53s
  [de] 2400/15430  55s
  [de] 2500/15430  57s
  [de] 2600/15430  59s
  [de] 2700/15430  61s
  [de] 2800/15430  63s
  [de] 2900/15430  65s
  [de] 3000/15430  66s
  [de] 3100/15430  68s
  [de] 3200/15430  69s
  [de] 3300/15430  71s
  [de] 3400/15430  73s
  [de] 3500/15430  75s
  [de] 3600/15430  76s
  [de] 3700/15430  78s
  [de] 3800/15430  80s
  [de] 3900/15430  81s
  [de] 4000/15430  83s
  [de] 4100/15430  85s
  [de] 4200/15430  87s
  [de] 4300/15430  89s
  [de] 4400/15430  91s
  [de] 4500/15430  93s
  [de] 4600/15430  95s
  [de] 4700/15430  97s
  [de] 4800/15430  99s
  [de] 4900/15430  100s
  [de] 5000/15430  102s
  [de] 5100/15430  104s
  [de] 5200/15430  106s
  [de] 5300/15430  108s
  [de] 5400/15430  110s
  [de] 5500/15430  112s
  [de] 5600/15430  113s
  [de] 5700/15430  115s
  [de] 5800/15430  117s
  [de] 5900/15430  118s
  [de] 6000/15430  120s
  [de] 6100/15430  122s
  [de] 6200/15430  124s
  [de] 6300/15430  126s
  [de] 6400/15430  128s
  [de] 6500/15430  130s
  [de] 6600/15430  131s
  [de] 6700/15430  133s
  [de] 6800/15430  135s
  [de] 6900/15430  137s
  [de] 7000/15430  139s
  [de] 7100/15430  141s
  [de] 7200/15430  142s
  [de] 7300/15430  144s
  [de] 7400/15430  146s
  [de] 7500/15430  148s
  [de] 7600/15430  150s
  [de] 7700/15430  152s
  [de] 7800/15430  154s
  [de] 7900/15430  157s
  [de] 8000/15430  159s
  [de] 8100/15430  161s
  [de] 8200/15430  163s
  [de] 8300/15430  165s
  [de] 8400/15430  167s
  [de] 8500/15430  169s
  [de] 8600/15430  171s
  [de] 8700/15430  173s
  [de] 8800/15430  175s
  [de] 8900/15430  177s
  [de] 9000/15430  180s
  [de] 9100/15430  182s
  [de] 9200/15430  184s
  [de] 9300/15430  186s
  [de] 9400/15430  188s
  [de] 9500/15430  191s
  [de] 9600/15430  192s
  [de] 9700/15430  194s
  [de] 9800/15430  196s
  [de] 9900/15430  198s
  [de] 10000/15430  200s
  [de] 10100/15430  202s
  [de] 10200/15430  204s
  [de] 10300/15430  206s
  [de] 10400/15430  208s
  [de] 10500/15430  210s
  [de] 10600/15430  212s
  [de] 10700/15430  214s
  [de] 10800/15430  216s
  [de] 10900/15430  218s
  [de] 11000/15430  220s
  [de] 11100/15430  223s
  [de] 11200/15430  225s
  [de] 11300/15430  227s
  [de] 11400/15430  229s
  [de] 11500/15430  231s
  [de] 11600/15430  233s
  [de] 11700/15430  235s
  [de] 11800/15430  237s
  [de] 11900/15430  239s
  [de] 12000/15430  241s
  [de] 12100/15430  242s
  [de] 12200/15430  244s
  [de] 12300/15430  246s
  [de] 12400/15430  248s
  [de] 12500/15430  250s
  [de] 12600/15430  252s
  [de] 12700/15430  254s
  [de] 12800/15430  256s
  [de] 12900/15430  258s
  [de] 13000/15430  261s
  [de] 13100/15430  263s
  [de] 13200/15430  265s
  [de] 13300/15430  267s
  [de] 13400/15430  269s
  [de] 13500/15430  271s
  [de] 13600/15430  272s
  [de] 13700/15430  274s
  [de] 13800/15430  276s
  [de] 13900/15430  279s
  [de] 14000/15430  281s
  [de] 14100/15430  283s
  [de] 14200/15430  285s
  [de] 14300/15430  287s
  [de] 14400/15430  289s
  [de] 14500/15430  291s
  [de] 14600/15430  293s
  [de] 14700/15430  295s
  [de] 14800/15430  297s
  [de] 14900/15430  299s
  [de] 15000/15430  301s
  [de] 15100/15430  303s
  [de] 15200/15430  304s
  [de] 15300/15430  306s
  [de] 15400/15430  308s
  [de] causal_align: 평균 조각수 6.53, 무분절 문장 182/15430, 308s
  → /home/mobility/STiTy/core/meaning_segmentator/runs/covost2/full/baselines/causal_align_de_test.json
