[alignatt] en→ja, 15430문장
  [ja] 25/15430  14s  ETA 144.5m
  [ja] 50/15430  24s  ETA 121.1m
  [ja] 75/15430  31s  ETA 106.5m
  [ja] 100/15430  40s  ETA 102.0m
  [ja] 125/15430  48s  ETA 97.5m
  [ja] 150/15430  57s  ETA 96.2m
  [ja] 175/15430  65s  ETA 94.6m
  [ja] 200/15430  73s  ETA 93.0m
  [ja] 225/15430  81s  ETA 91.4m
  [ja] 250/15430  90s  ETA 91.4m
  [ja] 275/15430  98s  ETA 89.6m
  [ja] 300/15430  107s  ETA 90.1m
  [ja] 325/15430  115s  ETA 89.4m
  [ja] 350/15430  125s  ETA 89.4m
  [ja] 375/15430  134s  ETA 89.4m
  [ja] 400/15430  142s  ETA 89.0m
  [ja] 425/15430  153s  ETA 89.8m
  [ja] 450/15430  161s  ETA 89.1m
  [ja] 475/15430  169s  ETA 88.8m
  [ja] 500/15430  177s  ETA 88.1m
  [ja] 525/15430  188s  ETA 88.8m
  [ja] 550/15430  194s  ETA 87.6m
  [ja] 575/15430  203s  ETA 87.2m
  [ja] 600/15430  210s  ETA 86.5m
  [ja] 625/15430  220s  ETA 86.8m
  [ja] 650/15430  229s  ETA 86.7m
  [ja] 675/15430  236s  ETA 86.1m
  [ja] 700/15430  246s  ETA 86.3m
  [ja] 725/15430  254s  ETA 86.0m
  [ja] 750/15430  262s  ETA 85.3m
  [ja] 775/15430  269s  ETA 84.9m
  [ja] 800/15430  277s  ETA 84.5m
  [ja] 825/15430  286s  ETA 84.4m
  [ja] 850/15430  294s  ETA 84.0m
  [ja] 875/15430  301s  ETA 83.5m
  [ja] 900/15430  308s  ETA 82.9m
  [ja] 925/15430  315s  ETA 82.4m
  [ja] 950/15430  324s  ETA 82.4m
  [ja] 975/15430  332s  ETA 82.0m
  [ja] 1000/15430  339s  ETA 81.5m
  [ja] 1025/15430  348s  ETA 81.5m
  [ja] 1050/15430  355s  ETA 81.1m
  [ja] 1075/15430  362s  ETA 80.6m
  [ja] 1100/15430  370s  ETA 80.4m
  [ja] 1125/15430  379s  ETA 80.4m
  [ja] 1150/15430  387s  ETA 80.0m
  [ja] 1175/15430  396s  ETA 80.0m
  [ja] 1200/15430  403s  ETA 79.6m
  [ja] 1225/15430  410s  ETA 79.3m
  [ja] 1250/15430  419s  ETA 79.2m
  [ja] 1275/15430  427s  ETA 79.0m
  [ja] 1300/15430  437s  ETA 79.1m
  [ja] 1325/15430  445s  ETA 78.9m
  [ja] 1350/15430  452s  ETA 78.6m
  [ja] 1375/15430  460s  ETA 78.4m
  [ja] 1400/15430  469s  ETA 78.3m
  [ja] 1425/15430  477s  ETA 78.1m
  [ja] 1450/15430  485s  ETA 78.0m
  [ja] 1475/15430  493s  ETA 77.8m
  [ja] 1500/15430  501s  ETA 77.5m
  [ja] 1525/15430  510s  ETA 77.5m
  [ja] 1550/15430  518s  ETA 77.3m
  [ja] 1575/15430  526s  ETA 77.2m
  [ja] 1600/15430  534s  ETA 76.9m
  [ja] 1625/15430  541s  ETA 76.6m
  [ja] 1650/15430  550s  ETA 76.5m
  [ja] 1675/15430  557s  ETA 76.3m
  [ja] 1700/15430  566s  ETA 76.2m
  [ja] 1725/15430  575s  ETA 76.2m
  [ja] 1750/15430  583s  ETA 75.9m
  [ja] 1775/15430  590s  ETA 75.7m
  [ja] 1800/15430  598s  ETA 75.4m
  [ja] 1825/15430  607s  ETA 75.5m
  [ja] 1850/15430  616s  ETA 75.3m
  [ja] 1875/15430  623s  ETA 75.1m
  [ja] 1900/15430  631s  ETA 74.9m
  [ja] 1925/15430  640s  ETA 74.9m
  [ja] 1950/15430  648s  ETA 74.7m
  [ja] 1975/15430  656s  ETA 74.5m
  [ja] 2000/15430  666s  ETA 74.5m
  [ja] 2025/15430  673s  ETA 74.3m
  [ja] 2050/15430  681s  ETA 74.0m
  [ja] 2075/15430  689s  ETA 73.9m
  [ja] 2100/15430  698s  ETA 73.8m
  [ja] 2125/15430  706s  ETA 73.7m
  [ja] 2150/15430  713s  ETA 73.4m
  [ja] 2175/15430  720s  ETA 73.1m
  [ja] 2200/15430  727s  ETA 72.9m
  [ja] 2225/15430  736s  ETA 72.8m
  [ja] 2250/15430  743s  ETA 72.5m
  [ja] 2275/15430  751s  ETA 72.4m
  [ja] 2300/15430  759s  ETA 72.3m
  [ja] 2325/15430  768s  ETA 72.1m
  [ja] 2350/15430  777s  ETA 72.0m
  [ja] 2375/15430  785s  ETA 71.9m
  [ja] 2400/15430  792s  ETA 71.6m
  [ja] 2425/15430  800s  ETA 71.5m
  [ja] 2450/15430  808s  ETA 71.3m
  [ja] 2475/15430  816s  ETA 71.1m
  [ja] 2500/15430  825s  ETA 71.1m
  [ja] 2525/15430  834s  ETA 71.1m
  [ja] 2550/15430  841s  ETA 70.8m
  [ja] 2575/15430  850s  ETA 70.8m
  [ja] 2600/15430  857s  ETA 70.5m
  [ja] 2625/15430  864s  ETA 70.2m
  [ja] 2650/15430  874s  ETA 70.2m
  [ja] 2675/15430  883s  ETA 70.2m
  [ja] 2700/15430  891s  ETA 70.0m
  [ja] 2725/15430  900s  ETA 69.9m
  [ja] 2750/15430  907s  ETA 69.7m
  [ja] 2775/15430  917s  ETA 69.7m
  [ja] 2800/15430  925s  ETA 69.5m
  [ja] 2825/15430  933s  ETA 69.4m
  [ja] 2850/15430  944s  ETA 69.5m
  [ja] 2875/15430  952s  ETA 69.3m
  [ja] 2900/15430  960s  ETA 69.1m
  [ja] 2925/15430  969s  ETA 69.1m
  [ja] 2950/15430  979s  ETA 69.0m
  [ja] 2975/15430  987s  ETA 68.9m
  [ja] 3000/15430  996s  ETA 68.8m
  [ja] 3025/15430  1003s  ETA 68.6m
  [ja] 3050/15430  1011s  ETA 68.4m
  [ja] 3075/15430  1019s  ETA 68.2m
  [ja] 3100/15430  1028s  ETA 68.1m
  [ja] 3125/15430  1036s  ETA 68.0m
  [ja] 3150/15430  1044s  ETA 67.8m
  [ja] 3175/15430  1053s  ETA 67.7m
  [ja] 3200/15430  1062s  ETA 67.6m
  [ja] 3225/15430  1071s  ETA 67.5m
  [ja] 3250/15430  1080s  ETA 67.5m
  [ja] 3275/15430  1087s  ETA 67.2m
  [ja] 3300/15430  1094s  ETA 67.0m
  [ja] 3325/15430  1103s  ETA 66.9m
  [ja] 3350/15430  1112s  ETA 66.8m
  [ja] 3375/15430  1121s  ETA 66.7m
  [ja] 3400/15430  1127s  ETA 66.5m
  [ja] 3425/15430  1136s  ETA 66.3m
  [ja] 3450/15430  1145s  ETA 66.3m
  [ja] 3475/15430  1153s  ETA 66.1m
  [ja] 3500/15430  1162s  ETA 66.0m
  [ja] 3525/15430  1170s  ETA 65.9m
  [ja] 3550/15430  1179s  ETA 65.7m
  [ja] 3575/15430  1188s  ETA 65.6m
  [ja] 3600/15430  1196s  ETA 65.5m
  [ja] 3625/15430  1205s  ETA 65.4m
  [ja] 3650/15430  1213s  ETA 65.2m
  [ja] 3675/15430  1222s  ETA 65.2m
  [ja] 3700/15430  1229s  ETA 64.9m
  [ja] 3725/15430  1237s  ETA 64.8m
  [ja] 3750/15430  1247s  ETA 64.7m
  [ja] 3775/15430  1254s  ETA 64.5m
  [ja] 3800/15430  1261s  ETA 64.3m
  [ja] 3825/15430  1268s  ETA 64.1m
  [ja] 3850/15430  1277s  ETA 64.0m
  [ja] 3875/15430  1285s  ETA 63.9m
  [ja] 3900/15430  1293s  ETA 63.7m
  [ja] 3925/15430  1303s  ETA 63.6m
  [ja] 3950/15430  1311s  ETA 63.5m
  [ja] 3975/15430  1319s  ETA 63.4m
  [ja] 4000/15430  1329s  ETA 63.3m
  [ja] 4025/15430  1337s  ETA 63.1m
  [ja] 4050/15430  1346s  ETA 63.0m
  [ja] 4075/15430  1354s  ETA 62.9m
  [ja] 4100/15430  1361s  ETA 62.7m
  [ja] 4125/15430  1369s  ETA 62.5m
  [ja] 4150/15430  1377s  ETA 62.4m
  [ja] 4175/15430  1387s  ETA 62.3m
  [ja] 4200/15430  1393s  ETA 62.1m
  [ja] 4225/15430  1399s  ETA 61.8m
  [ja] 4250/15430  1408s  ETA 61.7m
  [ja] 4275/15430  1417s  ETA 61.6m
  [ja] 4300/15430  1425s  ETA 61.5m
  [ja] 4325/15430  1433s  ETA 61.3m
  [ja] 4350/15430  1445s  ETA 61.3m
  [ja] 4375/15430  1453s  ETA 61.2m
  [ja] 4400/15430  1460s  ETA 61.0m
  [ja] 4425/15430  1468s  ETA 60.8m
  [ja] 4450/15430  1478s  ETA 60.8m
  [ja] 4475/15430  1486s  ETA 60.6m
  [ja] 4500/15430  1495s  ETA 60.5m
  [ja] 4525/15430  1502s  ETA 60.3m
  [ja] 4550/15430  1512s  ETA 60.3m
  [ja] 4575/15430  1521s  ETA 60.1m
  [ja] 4600/15430  1529s  ETA 60.0m
  [ja] 4625/15430  1537s  ETA 59.9m
  [ja] 4650/15430  1547s  ETA 59.8m
  [ja] 4675/15430  1554s  ETA 59.6m
  [ja] 4700/15430  1565s  ETA 59.5m
  [ja] 4725/15430  1573s  ETA 59.4m
  [ja] 4750/15430  1580s  ETA 59.2m
  [ja] 4775/15430  1589s  ETA 59.1m
  [ja] 4800/15430  1596s  ETA 58.9m
  [ja] 4825/15430  1605s  ETA 58.8m
  [ja] 4850/15430  1613s  ETA 58.6m
  [ja] 4875/15430  1620s  ETA 58.5m
  [ja] 4900/15430  1628s  ETA 58.3m
  [ja] 4925/15430  1635s  ETA 58.1m
  [ja] 4950/15430  1644s  ETA 58.0m
  [ja] 4975/15430  1652s  ETA 57.8m
  [ja] 5000/15430  1659s  ETA 57.7m
  [ja] 5025/15430  1666s  ETA 57.5m
  [ja] 5050/15430  1675s  ETA 57.4m
  [ja] 5075/15430  1682s  ETA 57.2m
  [ja] 5100/15430  1693s  ETA 57.1m
  [ja] 5125/15430  1701s  ETA 57.0m
  [ja] 5150/15430  1710s  ETA 56.9m
  [ja] 5175/15430  1718s  ETA 56.7m
  [ja] 5200/15430  1725s  ETA 56.6m
  [ja] 5225/15430  1733s  ETA 56.4m
  [ja] 5250/15430  1742s  ETA 56.3m
  [ja] 5275/15430  1751s  ETA 56.2m
  [ja] 5300/15430  1760s  ETA 56.1m
  [ja] 5325/15430  1769s  ETA 55.9m
  [ja] 5350/15430  1777s  ETA 55.8m
  [ja] 5375/15430  1785s  ETA 55.7m
  [ja] 5400/15430  1793s  ETA 55.5m
  [ja] 5425/15430  1802s  ETA 55.4m
  [ja] 5450/15430  1809s  ETA 55.2m
  [ja] 5475/15430  1818s  ETA 55.1m
  [ja] 5500/15430  1826s  ETA 54.9m
  [ja] 5525/15430  1835s  ETA 54.8m
  [ja] 5550/15430  1845s  ETA 54.7m
  [ja] 5575/15430  1853s  ETA 54.6m
  [ja] 5600/15430  1862s  ETA 54.5m
  [ja] 5625/15430  1871s  ETA 54.3m
  [ja] 5650/15430  1878s  ETA 54.2m
  [ja] 5675/15430  1886s  ETA 54.0m
  [ja] 5700/15430  1896s  ETA 53.9m
  [ja] 5725/15430  1903s  ETA 53.8m
  [ja] 5750/15430  1912s  ETA 53.7m
  [ja] 5775/15430  1920s  ETA 53.5m
  [ja] 5800/15430  1929s  ETA 53.4m
  [ja] 5825/15430  1938s  ETA 53.3m
